Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score,Gender_Male,School_Type_Public,Internet_Access_Yes,Extracurricular_Activities_Yes,Learning_Disabilities_Yes
22,98,1,0,7,52,1,3,1,1,2,3,1,0,70,0,1,0,1,0
29,96,1,0,7,72,1,1,0,1,2,3,0,1,71,1,1,1,1,0
20,71,1,1,7,88,1,1,0,0,1,4,1,0,65,0,1,1,1,0
29,92,0,1,4,91,1,2,1,1,0,1,2,0,72,0,1,1,0,0
4,100,2,2,8,60,2,0,1,2,2,4,1,1,69,1,0,1,1,0
25,70,1,1,7,52,1,1,1,1,2,3,2,0,66,0,1,1,0,0
21,77,0,1,7,90,1,4,1,1,1,3,2,1,68,1,0,1,1,0
18,81,2,0,8,71,1,0,1,1,1,3,0,1,65,0,1,1,1,0
21,72,1,1,5,57,1,1,2,1,1,5,1,1,64,1,1,1,1,1
8,61,1,1,7,54,1,1,2,1,2,3,1,0,60,1,1,1,1,0
19,69,1,2,7,82,2,1,0,1,0,2,0,0,65,1,1,1,1,0
22,71,2,1,6,79,2,1,0,0,2,3,0,0,66,1,1,1,0,0
29,78,2,2,4,93,0,5,1,2,1,3,1,0,74,1,1,1,1,0
17,67,1,1,5,52,2,2,1,1,0,3,0,2,62,0,0,1,1,0
15,95,1,1,7,93,1,2,0,1,2,4,1,1,70,1,1,1,0,0
17,88,1,2,7,94,0,0,1,1,1,3,0,0,69,1,1,1,1,0
25,63,1,2,7,72,1,3,1,2,0,4,1,2,67,1,0,1,1,0
22,86,0,0,6,54,1,2,1,1,1,0,0,1,64,1,1,1,0,0
17,86,1,2,5,97,2,3,2,1,1,3,1,0,71,1,1,1,0,0
23,98,1,0,7,54,0,0,1,1,0,3,1,0,68,0,1,1,1,0
21,60,2,1,7,80,1,0,1,2,1,4,1,0,64,1,1,1,0,1
26,70,1,0,8,75,1,1,1,0,1,4,0,2,63,0,0,1,1,1
16,97,1,1,6,92,0,0,2,1,2,4,1,0,71,1,0,1,1,0
18,97,2,1,4,75,0,0,0,1,2,3,0,1,69,1,1,1,1,0
18,89,2,1,4,73,1,3,2,1,2,2,1,0,100,0,0,1,1,0
11,91,1,1,6,94,1,3,1,1,1,3,1,1,68,1,1,1,0,0
22,64,0,1,7,98,0,1,1,1,0,3,0,0,62,1,1,0,0,0
22,81,1,1,7,77,0,2,1,1,2,3,2,2,68,0,1,1,1,0
20,69,2,2,6,73,1,2,0,1,2,3,0,2,66,1,0,1,1,0
19,67,0,1,5,92,2,0,1,1,2,3,1,0,64,1,1,1,0,0
12,92,1,1,4,92,2,2,1,2,1,3,0,1,67,1,1,1,0,1
17,65,1,2,8,66,1,1,2,2,1,4,2,1,65,0,1,1,1,1
18,79,1,1,7,79,1,0,0,2,1,3,1,2,65,1,0,1,1,0
15,98,2,1,6,58,2,0,0,2,2,3,1,0,69,1,1,1,0,0
19,67,1,1,5,82,2,1,0,0,0,3,0,0,63,1,0,1,0,0
22,99,1,0,6,92,0,3,1,1,0,4,2,1,72,1,1,1,1,0
31,100,1,1,7,59,1,2,2,2,2,5,2,1,76,1,1,1,0,0
21,82,1,2,7,66,2,3,0,1,2,3,1,0,69,0,1,1,1,1
22,67,1,1,7,72,2,3,0,2,2,2,2,1,67,0,1,1,1,0
20,73,2,1,9,92,1,2,1,2,2,3,1,0,69,1,1,1,1,0
8,77,2,1,6,87,1,0,0,1,1,2,0,1,63,1,1,1,1,0
20,72,1,1,9,66,1,3,0,2,2,3,2,0,67,1,0,1,0,0
20,71,0,2,7,62,2,2,1,1,0,5,1,0,66,1,1,1,1,0
35,99,2,2,7,85,0,2,1,2,1,2,2,0,79,0,0,1,1,0
19,66,1,1,8,74,1,1,2,1,1,3,0,0,64,0,1,1,0,0
22,89,2,2,6,80,1,1,2,2,2,3,0,0,73,0,1,1,1,0
20,60,0,2,7,82,2,2,0,2,2,4,0,0,63,1,1,1,0,1
13,84,1,1,5,78,1,1,0,2,2,2,0,0,65,1,1,1,0,0
27,97,0,2,8,81,1,0,2,1,2,5,0,0,73,0,1,1,1,0
25,72,2,2,8,94,0,2,0,1,2,4,1,1,70,0,0,1,1,0
25,67,2,1,9,93,2,2,0,2,2,3,0,0,68,0,1,1,0,1
15,86,1,1,7,57,1,1,1,1,0,3,1,0,65,1,1,1,1,0
28,89,0,2,9,79,2,0,0,1,2,1,1,1,71,0,0,1,1,0
12,88,0,1,6,72,0,2,1,1,2,2,1,2,64,1,1,1,0,0
24,73,1,2,8,64,1,4,2,1,1,3,1,1,68,1,0,1,1,1
33,70,1,1,6,82,0,1,0,2,1,4,1,0,69,1,1,1,1,0
14,98,1,1,7,76,1,0,1,2,2,4,1,1,69,0,0,1,0,0
17,97,1,1,8,89,1,1,0,1,1,4,0,2,69,1,1,1,0,0
21,78,1,1,10,55,1,1,2,0,2,2,1,0,67,1,0,1,1,0
17,94,0,1,8,65,0,4,1,1,1,6,0,2,68,0,1,1,1,0
11,78,1,2,8,51,1,2,0,1,1,3,2,0,64,1,1,1,1,0
20,77,1,1,6,87,0,0,0,2,2,4,0,0,66,0,1,1,0,0
14,66,2,0,7,96,1,3,0,2,0,3,0,0,63,1,1,1,0,0
23,77,1,1,7,79,1,0,0,2,1,2,0,1,66,1,1,1,1,0
14,81,1,1,9,81,1,1,0,2,0,3,2,0,66,0,0,1,0,0
29,61,1,2,7,52,0,3,0,1,2,3,1,0,67,0,0,1,1,0
15,78,2,2,9,75,0,1,0,1,0,1,0,0,65,1,1,1,0,0
18,91,0,1,5,76,1,1,1,1,1,3,0,0,68,0,1,1,1,0
25,87,1,0,9,52,2,1,0,2,2,2,0,0,68,1,0,1,0,0
13,85,2,1,6,89,1,0,2,1,1,1,0,0,65,1,0,1,0,1
21,96,1,1,8,64,2,2,1,2,1,0,1,0,71,1,1,1,0,0
28,61,1,2,6,86,2,1,0,1,0,3,2,2,65,1,0,1,0,1
10,82,1,0,8,70,1,3,0,2,2,1,2,0,64,0,1,1,0,1
21,91,2,1,6,100,1,0,2,1,1,2,2,0,72,0,0,1,0,0
22,82,1,1,9,61,1,2,0,1,0,2,0,0,65,0,1,1,0,1
25,73,1,2,8,53,2,0,0,2,0,5,2,0,66,0,0,0,0,0
13,65,0,2,6,99,1,0,0,1,0,4,0,0,61,1,0,1,0,0
12,96,0,2,8,62,1,2,1,2,0,3,1,0,68,0,1,1,1,0
23,79,2,2,8,82,0,3,1,1,0,3,2,1,69,0,1,1,1,1
22,95,1,2,6,69,1,1,0,1,2,3,1,0,72,0,1,1,1,0
22,83,1,2,5,82,1,2,0,2,2,3,2,0,71,0,1,1,1,0
22,87,2,2,5,80,0,2,0,2,0,3,0,0,70,0,1,1,0,0
16,92,1,2,5,85,0,1,0,1,1,2,0,1,68,1,1,1,1,0
21,86,0,1,5,51,1,2,0,2,2,2,0,1,67,0,1,1,1,0
22,76,1,1,8,92,1,1,0,2,1,4,0,0,68,0,1,1,1,0
16,81,1,1,8,74,1,3,1,1,2,2,2,0,68,0,1,1,1,0
31,92,1,1,4,76,1,2,1,2,2,4,0,2,72,1,1,1,1,1
23,75,0,2,6,71,0,0,1,1,1,2,1,0,65,1,1,1,0,0
13,76,1,2,5,99,0,2,1,1,2,4,0,0,66,0,0,1,0,0
24,64,1,1,8,90,2,0,0,2,0,3,0,0,65,1,1,1,1,0
14,97,1,1,6,66,1,2,1,1,0,3,1,0,67,0,1,1,1,1
25,64,1,2,5,89,0,2,1,1,1,4,1,2,66,1,1,1,0,0
27,86,1,1,7,72,0,1,1,2,2,4,0,2,69,1,1,1,0,0
15,77,1,1,8,94,0,0,2,2,2,3,1,1,66,1,1,1,1,0
26,76,1,2,6,52,1,4,2,0,1,3,0,0,69,1,1,1,1,0
22,87,2,0,7,68,1,0,0,1,1,2,0,0,67,1,1,0,1,0
25,63,2,1,6,71,1,1,1,0,2,3,0,0,66,1,0,1,1,0
31,84,1,1,9,87,1,2,0,1,1,3,1,2,71,1,0,1,1,0
19,91,2,0,6,59,1,5,1,2,1,4,1,1,70,1,1,1,0,0
15,93,2,1,6,64,1,2,1,2,2,4,2,0,71,1,1,1,0,0
15,67,1,1,7,86,2,1,2,1,2,3,2,0,66,1,0,1,1,0
15,96,1,1,7,54,2,3,1,2,0,2,0,0,67,1,1,0,0,0
20,86,2,0,8,60,1,1,1,1,1,4,1,2,66,0,1,1,0,1
22,95,1,2,9,88,0,0,0,2,2,2,2,0,72,1,1,1,0,0
22,79,1,1,9,94,1,1,1,1,2,3,0,0,68,1,1,1,0,0
25,82,1,1,6,86,1,3,0,2,2,3,0,0,69,0,1,0,0,0
20,97,1,1,7,76,0,2,0,0,2,3,2,0,71,1,0,1,1,0
29,96,1,1,9,55,0,0,1,1,1,2,2,2,70,0,1,0,1,0
18,78,1,1,9,91,2,2,2,0,1,4,1,2,67,0,1,1,0,0
36,71,1,1,6,56,1,2,2,1,2,2,0,2,69,1,1,1,1,0
24,76,0,2,8,69,0,2,1,1,1,1,0,1,65,1,1,1,0,0
15,76,2,2,8,53,1,1,0,1,1,4,1,0,65,1,1,1,0,0
14,71,1,1,8,85,0,2,1,2,1,4,0,0,64,1,1,1,1,0
23,71,0,0,9,75,0,1,0,1,0,2,1,0,63,1,1,1,1,0
19,94,0,1,5,95,1,3,0,0,2,2,0,1,69,1,1,1,1,0
24,63,1,0,6,57,1,1,0,2,1,5,1,0,64,0,0,1,1,0
23,87,2,2,8,91,2,0,2,1,2,3,0,1,72,1,0,1,1,0
20,67,0,1,7,76,1,0,1,1,1,4,0,0,63,1,1,1,1,0
15,74,0,2,4,68,0,3,0,1,2,3,0,0,64,0,1,1,1,0
11,62,1,2,5,82,1,3,2,1,1,4,1,1,64,1,0,1,1,0
17,71,1,1,8,90,1,5,1,1,2,1,2,2,67,1,1,1,1,0
25,91,1,1,8,72,0,2,1,2,2,0,2,0,71,1,1,1,0,0
21,95,1,1,5,62,2,1,1,0,2,4,0,0,70,1,1,1,0,0
13,69,1,0,9,96,0,0,2,1,1,4,0,2,61,0,0,1,1,0
21,79,1,2,7,66,0,2,0,1,0,4,1,1,67,1,1,1,1,0
22,79,2,1,5,100,1,4,2,2,0,3,1,0,72,1,1,1,0,0
15,95,0,0,6,88,0,1,0,1,0,5,0,0,66,1,1,1,1,0
21,91,1,2,5,84,1,1,2,0,1,2,0,0,70,1,1,1,1,0
20,81,2,1,6,51,2,3,1,1,1,4,0,0,67,1,1,0,1,1
13,87,2,0,4,72,1,2,1,2,1,3,0,1,67,0,1,1,1,0
22,94,0,1,7,75,2,2,2,1,1,2,1,0,71,0,1,1,1,0
23,60,2,1,8,69,1,1,0,1,2,4,1,0,66,1,0,1,1,0
26,76,1,1,5,57,1,1,1,1,2,4,0,0,68,1,1,1,1,0
26,96,1,1,7,68,1,3,2,1,2,3,1,0,74,0,0,1,1,0
12,90,1,0,6,54,1,1,2,1,1,3,0,0,64,1,1,0,1,0
14,82,1,1,8,65,1,1,0,1,2,3,1,0,65,1,0,1,0,0
23,81,0,1,4,54,1,1,0,1,1,3,1,0,66,1,1,1,1,0
23,74,1,2,8,88,0,0,1,2,0,3,0,0,66,1,1,1,1,1
23,81,1,0,4,84,1,2,1,1,2,5,0,0,68,1,1,1,0,0
43,86,2,1,7,97,1,2,1,2,2,1,0,0,78,0,1,1,1,0
23,77,1,2,6,69,0,1,1,1,2,2,0,1,67,0,0,1,1,0
27,89,1,2,6,89,1,3,1,1,2,3,0,0,74,1,0,1,1,0
26,94,1,2,5,79,2,1,0,2,2,2,2,0,74,1,1,1,0,0
24,66,1,0,9,82,0,1,1,1,1,2,0,0,62,0,1,1,0,1
18,78,2,1,5,77,1,2,1,1,1,4,0,2,66,1,1,0,1,0
25,76,1,1,5,89,2,3,1,2,1,3,0,2,69,0,1,1,1,0
15,87,1,2,10,52,1,2,0,2,2,3,1,0,68,1,0,1,1,0
19,70,1,0,7,54,2,0,1,1,2,2,0,1,89,1,1,1,0,1
17,86,2,0,5,55,0,2,2,1,1,4,1,0,66,1,0,0,0,0
20,95,0,1,7,64,0,2,1,2,1,3,0,0,68,0,1,0,1,0
34,77,1,0,7,80,0,0,1,1,2,3,0,0,69,1,1,1,1,0
9,96,1,1,4,82,2,0,0,1,2,4,1,0,67,1,1,0,1,0
24,100,2,2,6,86,0,2,1,1,2,5,0,0,75,1,0,1,1,0
10,64,1,2,7,64,2,0,1,1,2,4,0,1,60,0,1,1,0,1
17,69,2,1,9,83,1,2,1,2,2,4,1,1,66,0,0,1,1,1
27,98,0,2,7,56,0,1,2,1,2,3,1,0,73,0,0,1,1,0
20,98,1,0,7,50,0,1,1,2,1,2,0,0,68,0,0,1,0,0
14,64,1,1,6,85,1,0,1,1,1,3,0,0,62,1,1,1,1,0
16,61,1,1,9,86,0,2,0,2,2,2,0,0,62,1,1,1,0,0
24,66,2,0,8,81,2,1,1,1,1,4,0,2,65,1,1,1,1,0
16,100,2,0,8,63,2,2,0,1,0,3,0,1,69,1,1,1,1,0
21,67,1,1,7,96,0,3,0,1,1,2,0,2,64,0,1,1,0,0
20,80,1,2,5,94,1,0,0,0,2,4,2,1,67,0,0,1,0,1
16,94,2,2,9,76,1,0,0,2,1,2,0,0,70,1,1,1,1,0
33,61,1,1,7,99,2,2,1,2,1,3,1,0,70,0,1,1,0,0
24,84,2,0,7,65,0,3,1,2,2,3,0,0,69,0,1,1,0,0
8,71,2,0,8,75,1,0,1,2,2,3,0,0,61,1,1,1,0,0
21,94,1,1,7,96,0,0,1,1,1,2,2,1,69,1,0,1,0,1
16,71,2,1,5,73,1,1,1,1,1,0,0,0,63,1,1,1,1,1
25,87,1,0,7,74,0,0,1,2,1,4,0,0,67,1,1,1,1,1
15,87,0,1,4,54,1,1,1,1,1,6,0,1,65,1,1,1,0,0
19,69,1,1,7,61,2,3,2,2,1,4,0,1,66,1,1,1,1,0
23,61,0,1,9,58,1,4,1,1,1,2,0,0,63,1,1,1,0,0
25,76,1,2,4,78,1,2,1,1,0,3,0,1,68,0,0,1,1,0
13,72,2,2,7,66,1,0,0,2,1,4,2,0,65,1,1,1,0,0
18,92,0,1,8,54,1,1,1,1,2,3,0,0,67,1,1,1,1,0
17,92,0,0,8,75,1,2,1,2,1,3,2,0,68,0,1,1,1,0
16,78,1,2,6,83,1,0,0,0,1,3,1,0,64,1,1,1,0,1
31,84,1,1,5,87,2,0,1,1,2,3,1,1,71,1,0,1,0,0
22,84,1,1,6,92,0,0,1,1,1,5,0,0,69,0,1,1,1,0
12,93,1,1,9,74,0,1,1,1,1,3,2,1,67,1,1,1,1,0
26,77,0,1,4,70,0,2,2,0,1,3,1,1,65,0,1,1,0,1
33,71,0,1,5,84,1,1,1,1,2,2,0,0,68,1,1,1,0,0
26,71,2,1,6,51,0,1,2,1,2,3,2,1,67,1,0,0,1,0
11,81,1,1,6,82,2,3,1,2,1,4,0,0,67,1,1,1,1,0
17,78,1,2,7,70,1,2,0,2,2,3,0,0,66,1,1,0,1,0
28,78,2,1,9,73,2,2,1,1,1,4,1,1,70,0,1,1,0,0
16,64,2,0,5,65,1,3,1,2,2,4,2,1,65,0,0,1,1,0
23,89,0,0,7,56,0,4,1,0,2,4,2,0,69,0,0,1,1,0
25,69,1,1,7,70,0,1,2,2,2,4,0,2,65,0,1,0,1,0
14,68,2,1,6,65,1,1,2,1,1,3,1,0,63,1,1,1,0,1
20,77,1,1,5,98,0,2,0,2,1,2,2,2,67,0,0,1,0,0
1,69,2,1,6,97,1,1,0,1,2,3,0,0,61,0,1,1,1,0
14,83,1,0,6,82,1,0,1,1,2,2,0,0,65,0,1,1,1,0
18,75,0,2,8,95,1,1,0,0,1,2,1,0,66,0,1,1,1,0
13,78,1,2,8,88,2,0,2,0,1,3,1,0,66,1,1,1,1,0
30,81,1,0,5,67,1,1,2,2,0,1,0,0,69,1,1,1,1,0
11,68,1,1,6,80,1,2,1,1,2,3,1,1,63,0,1,1,0,0
17,66,0,2,6,61,1,1,2,1,2,6,2,0,65,1,1,1,0,0
21,95,0,0,10,84,0,0,2,1,1,4,0,0,67,1,1,1,0,1
29,77,2,2,7,52,1,2,2,1,0,3,0,0,69,0,1,1,1,1
11,76,0,1,5,92,1,4,1,0,0,2,2,0,65,1,1,1,1,0
27,61,1,1,6,79,1,1,0,1,2,3,0,1,65,1,1,1,0,0
20,80,2,0,6,53,1,0,0,1,1,2,1,1,65,1,1,1,1,0
14,82,1,2,8,94,0,2,0,2,0,5,1,2,67,0,1,1,1,0
23,82,0,1,8,94,1,1,1,1,0,2,0,0,66,1,1,1,1,1
21,88,1,2,7,93,1,4,0,1,2,3,0,0,72,0,1,1,0,0
16,67,1,2,7,89,2,3,0,1,2,3,1,0,66,1,1,1,0,0
20,70,1,1,7,84,0,2,1,2,1,4,1,2,65,1,0,0,1,0
18,92,2,1,7,70,1,1,0,1,1,3,0,1,69,1,1,1,1,0
21,98,1,0,4,57,1,2,2,0,1,2,0,0,68,0,1,1,0,0
24,65,1,0,7,64,0,1,2,1,1,1,2,0,64,1,1,1,0,0
30,80,0,2,6,67,1,3,1,1,0,4,1,1,69,0,1,1,0,0
13,69,1,0,5,68,0,0,2,1,2,1,0,1,59,0,1,1,1,1
33,62,2,1,10,78,1,0,1,1,2,3,0,1,68,0,0,1,1,0
8,73,1,1,7,60,1,0,2,1,1,3,0,0,60,0,0,0,0,0
19,66,1,2,7,59,1,1,2,1,0,3,0,2,62,1,1,1,0,0
24,88,0,1,6,86,0,0,0,0,0,3,1,0,67,1,1,1,1,0
22,81,0,2,8,50,2,4,1,1,2,5,0,2,68,0,0,1,1,0
16,66,1,2,5,57,2,3,1,1,2,3,0,1,64,0,1,1,1,0
19,60,1,2,7,72,2,3,0,2,2,3,0,1,65,0,1,1,1,0
17,92,0,0,6,57,1,2,1,1,2,2,0,1,65,0,0,1,1,1
16,67,2,1,8,98,1,0,0,0,1,3,0,0,63,0,1,1,0,0
25,84,1,0,6,84,0,2,1,2,2,3,0,0,70,1,1,1,1,0
22,73,0,1,9,72,0,3,1,1,2,3,0,0,66,0,1,1,1,0
16,83,1,2,7,56,0,4,2,1,2,3,0,0,68,0,1,1,1,0
25,73,0,0,8,69,1,3,1,1,2,3,0,0,66,0,0,1,0,0
22,63,0,0,8,83,1,3,1,1,0,1,1,0,63,1,0,1,0,0
25,69,2,1,9,98,1,1,0,1,0,3,1,1,66,0,1,1,1,1
24,68,1,1,6,74,1,1,1,1,1,3,0,0,65,0,1,1,1,0
15,77,1,1,8,85,2,1,0,1,2,2,2,1,66,1,1,1,1,0
17,86,2,0,4,60,2,2,2,0,2,3,1,1,67,0,0,1,1,1
24,71,1,1,7,81,1,0,0,1,2,3,0,0,66,1,0,1,1,0
24,60,0,1,6,62,2,4,0,2,0,3,0,0,63,0,1,1,0,0
20,81,1,1,5,60,0,3,1,1,2,4,0,0,66,1,1,1,1,1
21,84,1,1,6,75,0,1,2,1,2,3,1,1,67,1,1,0,0,0
28,99,1,1,6,61,1,1,0,1,2,3,0,0,71,1,1,0,1,0
16,84,1,2,7,86,1,1,0,1,1,2,0,0,67,0,0,1,1,0
23,79,1,2,6,97,1,1,2,0,1,4,0,1,69,1,1,1,1,0
19,83,1,1,7,70,1,2,0,1,0,4,2,0,67,0,1,1,1,1
19,97,2,1,6,66,2,2,1,1,2,2,1,1,72,0,0,1,1,0
27,93,2,0,6,59,2,2,0,1,0,4,0,0,70,0,0,1,0,0
25,73,1,2,7,70,0,0,0,1,1,4,2,1,67,1,0,1,1,0
25,69,0,2,7,78,1,0,0,2,0,3,0,2,64,0,1,1,1,0
28,71,1,1,8,69,2,1,1,2,1,1,1,1,67,0,0,1,0,0
20,80,0,2,8,81,1,3,1,1,0,4,2,0,69,1,0,1,0,0
24,90,0,0,7,83,1,0,0,1,2,3,1,0,68,1,0,1,0,0
18,80,1,1,8,55,0,2,0,0,1,3,0,1,63,1,1,1,0,0
22,63,1,2,7,85,1,4,2,2,0,3,1,0,68,0,1,1,1,0
19,89,2,1,7,95,1,0,1,1,2,3,0,0,70,1,1,1,1,0
21,92,1,0,8,51,0,0,1,1,1,2,1,1,66,1,1,1,1,0
24,72,2,2,6,78,2,0,0,2,0,6,0,0,68,0,1,1,0,0
15,87,2,0,4,80,2,0,0,1,2,3,1,0,67,1,0,1,1,0
33,77,0,2,5,85,1,0,0,1,1,5,0,2,69,0,0,1,1,0
14,96,1,0,9,69,2,0,1,1,0,3,1,0,66,0,0,1,1,1
13,94,1,1,7,91,0,3,0,1,1,3,0,0,68,1,1,1,1,0
27,81,1,1,7,77,1,2,1,0,1,2,2,1,69,0,1,1,1,1
25,88,1,1,7,70,0,1,1,1,2,3,2,1,70,1,0,1,1,0
24,95,1,2,8,86,2,1,1,2,1,3,1,0,74,1,0,1,1,0
24,80,1,2,7,96,2,0,0,2,2,0,1,1,70,0,1,1,1,0
20,73,1,1,7,91,0,1,1,2,1,2,2,1,66,1,1,1,1,0
15,90,2,1,8,97,1,1,0,2,0,3,1,0,69,0,0,1,1,0
20,69,1,2,6,63,0,0,0,1,0,3,2,0,64,1,1,1,0,0
16,76,0,2,8,56,1,1,0,1,2,1,0,0,62,1,1,0,1,0
26,95,0,2,7,77,1,0,1,1,1,3,0,1,70,0,1,1,0,0
19,89,2,1,7,52,1,2,1,1,0,4,0,1,68,1,1,1,1,0
15,76,1,1,6,84,0,0,1,2,1,3,1,0,65,0,1,1,1,0
18,69,2,2,7,62,0,3,1,1,2,3,0,1,65,1,1,1,0,0
22,74,2,2,6,73,0,3,2,2,2,4,2,1,71,0,1,1,1,0
17,71,2,1,9,83,0,2,1,1,1,5,0,0,66,1,1,1,1,0
15,67,1,1,4,74,1,0,0,1,0,3,1,1,61,1,1,1,0,0
